"Story","Title","Result","Date","Stability","Duration (s)"
"All related test scenarios to Incident User","Ensure that ""Number"" field is autopopulated as with prefix INC with 7 digits starting at 10,000","SUCCESS","2020-06-11T20:15:30.71+05:30[Asia/Calcutta]","0.0","87.18"
"All related test scenarios to Incident User","Ensure that ITIL user role can create a new Incident","SUCCESS","2020-06-11T20:16:57.888+05:30[Asia/Calcutta]","0.0","76.81"
"All related test scenarios to Incident User","Ensure that Incidents can have Attachments added","SUCCESS","2020-06-11T20:18:14.697+05:30[Asia/Calcutta]","0.0","61.43"
