"Story","Title","Result","Date","Stability","Duration (s)"
"All related test scenarios to Incident User","Ensure that ""Number"" field is autopopulated as with prefix INC with 7 digits starting at 10,000","FAILURE","2020-06-15T15:50:09.494+05:30[Asia/Calcutta]","0.0","66.54"
"All related test scenarios to Incident User","Ensure that Incident can be cancelled","SUCCESS","2020-06-15T16:05:43.124+05:30[Asia/Calcutta]","0.0","73.99"
